start_at,symbol,period,open,high,low,close
1650585600,LUNAUSD,1,90.8,90.82,90.74,90.8
1650585660,LUNAUSD,1,90.8,90.95,90.74,90.75
1650585720,LUNAUSD,1,90.75,90.83,90.64,90.83
1650585780,LUNAUSD,1,90.83,90.87,90.6,90.66
1650585840,LUNAUSD,1,90.66,90.77,90.56,90.77
1650585900,LUNAUSD,1,90.77,91.02,90.74,91.0
1650585960,LUNAUSD,1,91.0,91.3,91.0,91.29
1650586020,LUNAUSD,1,91.29,91.4,91.27,91.32
1650586080,LUNAUSD,1,91.32,91.46,91.31,91.46
1650586140,LUNAUSD,1,91.46,91.54,91.38,91.38
1650586200,LUNAUSD,1,91.38,91.38,91.22,91.3
1650586260,LUNAUSD,1,91.3,91.65,91.26,91.62
1650586320,LUNAUSD,1,91.62,91.64,91.54,91.56
1650586380,LUNAUSD,1,91.56,91.59,91.45,91.58
1650586440,LUNAUSD,1,91.58,91.69,91.55,91.66
1650586500,LUNAUSD,1,91.66,91.74,91.54,91.54
1650586560,LUNAUSD,1,91.54,91.55,91.41,91.46
1650586620,LUNAUSD,1,91.46,91.46,91.38,91.38
1650586680,LUNAUSD,1,91.38,91.43,91.33,91.43
1650586740,LUNAUSD,1,91.43,91.56,91.37,91.52
1650586800,LUNAUSD,1,91.52,91.53,91.39,91.42
1650586860,LUNAUSD,1,91.42,91.42,91.23,91.3
1650586920,LUNAUSD,1,91.3,91.33,91.23,91.23
1650586980,LUNAUSD,1,91.23,91.29,91.23,91.29
1650587040,LUNAUSD,1,91.29,91.39,91.29,91.36
1650587100,LUNAUSD,1,91.36,91.47,91.35,91.44
1650587160,LUNAUSD,1,91.44,91.54,91.39,91.4
1650587220,LUNAUSD,1,91.4,91.41,91.25,91.41
1650587280,LUNAUSD,1,91.41,91.43,91.3,91.33
1650587340,LUNAUSD,1,91.33,91.42,91.31,91.41
1650587400,LUNAUSD,1,91.41,91.45,91.38,91.45
1650587460,LUNAUSD,1,91.45,91.72,91.45,91.71
1650587520,LUNAUSD,1,91.71,91.89,91.71,91.87
1650587580,LUNAUSD,1,91.87,91.91,91.83,91.86
1650587640,LUNAUSD,1,91.86,92.24,91.83,92.2
1650587700,LUNAUSD,1,92.2,92.31,92.2,92.27
1650587760,LUNAUSD,1,92.27,92.42,92.24,92.26
1650587820,LUNAUSD,1,92.26,92.39,92.18,92.22
1650587880,LUNAUSD,1,92.22,92.3,92.1,92.3
1650587940,LUNAUSD,1,92.3,92.44,92.27,92.39
1650588000,LUNAUSD,1,92.39,92.39,92.24,92.28
1650588060,LUNAUSD,1,92.28,92.28,92.06,92.07
1650588120,LUNAUSD,1,92.07,92.11,91.88,91.88
1650588180,LUNAUSD,1,91.88,91.88,91.67,91.69
1650588240,LUNAUSD,1,91.69,91.69,91.55,91.57
1650588300,LUNAUSD,1,91.57,91.66,91.3,91.31
1650588360,LUNAUSD,1,91.31,91.45,91.25,91.38
1650588420,LUNAUSD,1,91.38,91.43,91.21,91.22
1650588480,LUNAUSD,1,91.22,91.33,91.22,91.33
1650588540,LUNAUSD,1,91.33,91.4,91.29,91.4
1650588600,LUNAUSD,1,91.4,91.41,91.32,91.34
1650588660,LUNAUSD,1,91.34,91.47,91.19,91.47
1650588720,LUNAUSD,1,91.47,91.64,91.47,91.58
1650588780,LUNAUSD,1,91.58,91.69,91.54,91.62
1650588840,LUNAUSD,1,91.62,91.69,91.58,91.67
1650588900,LUNAUSD,1,91.67,91.74,91.66,91.74
1650588960,LUNAUSD,1,91.74,91.79,91.67,91.77
1650589020,LUNAUSD,1,91.77,91.78,91.72,91.77
1650589080,LUNAUSD,1,91.77,91.78,91.7,91.75
1650589140,LUNAUSD,1,91.75,91.82,91.7,91.74
1650589200,LUNAUSD,1,91.74,91.85,91.74,91.8
1650589260,LUNAUSD,1,91.8,91.81,91.72,91.74
1650589320,LUNAUSD,1,91.74,91.79,91.74,91.78
1650589380,LUNAUSD,1,91.78,91.78,91.64,91.64
1650589440,LUNAUSD,1,91.64,91.66,91.56,91.63
1650589500,LUNAUSD,1,91.63,91.69,91.62,91.66
1650589560,LUNAUSD,1,91.66,91.75,91.63,91.75
1650589620,LUNAUSD,1,91.75,91.99,91.71,91.99
1650589680,LUNAUSD,1,91.99,92.08,91.98,92.04
1650589740,LUNAUSD,1,92.04,92.15,92.03,92.15
1650589800,LUNAUSD,1,92.15,92.15,92.12,92.15
1650589860,LUNAUSD,1,92.15,92.3,92.14,92.26
1650589920,LUNAUSD,1,92.26,92.28,92.22,92.28
1650589980,LUNAUSD,1,92.28,92.34,92.21,92.34
1650590040,LUNAUSD,1,92.34,92.35,92.25,92.27
1650590100,LUNAUSD,1,92.27,92.28,92.11,92.28
1650590160,LUNAUSD,1,92.28,92.45,92.27,92.41
1650590220,LUNAUSD,1,92.41,92.41,92.15,92.15
1650590280,LUNAUSD,1,92.15,92.16,92.05,92.09
1650590340,LUNAUSD,1,92.09,92.17,91.94,91.96
1650590400,LUNAUSD,1,91.96,91.97,91.86,91.94
